ticket_id,created_date,channel,subject,body,priority_actual,category_actual,handle_time_minutes,resolved_first_contact,csat_score
TKT-1112,2026-04-29,email,Suspicious login attempt on my account,I received an email saying there was a login attempt from an unrecognized device in Chicago. I did not attempt to log in at that time. I've already changed my password but I'm concerned my account may be compromised. Can you review recent activity and confirm my account is secure?,Low,Account Access,7,True,5
TKT-1113,2025-11-30,email,Feedback about the new app update,"I just wanted to share some feedback about the recent app update. I really miss the old home screen layout — the new one is harder to navigate. The transaction history view in particular is much harder to use. Is there a way to revert to the old layout, or can you pass this feedback along?",Low,General Inquiry,8,True,4
TKT-1114,2026-02-16,chat,SSO login broken since company update,"Since our company updated their SSO provider last week, I can no longer log in through the company portal. It redirects me to a blank screen. My colleagues are having the same issue. Our company admin is BuildRight LLC. Can you check if something on your end needs to be updated?",Critical,Account Access,34,False,4
TKT-1115,2026-02-22,chat,Transaction I didn't authorize,"There's a $12.99 transaction on my account from April 26, 2026 that I did not authorize. I've never heard of 'Payroll Advance LLC' and I was not in California on that date. I believe this may be fraud. Please investigate and refund the charge. I'd also like to know if my account has been compromised.",High,Refund Request,22,False,4
TKT-1116,2025-12-19,web,Potential fraud on my account — urgent,I believe my account has been used fraudulently. I noticed 20 transactions I did not authorize totaling $99.0. I have already locked my bank account. I am filing a police report. I need all transaction records for the past 10 months and immediate reversal of the fraudulent charges. This is extremely urgent.,High,Compliance & Legal,29,True,4
TKT-1117,2026-01-25,email,How do I request a pay advance?,"I just signed up and I'm trying to figure out how to request an advance on my upcoming paycheck. I see the option in the app but when I tap it, it says I'm not eligible. I've been at my job for 3 months and my employer is enrolled. What are the eligibility requirements?",Medium,Product Question,10,False,4
TKT-1118,2026-03-31,email,Unable to update my payment method,I've been trying to update my bank account for direct deposit but keep getting an error when I try to save the new account. I've tried three times now and it just says 'Unable to verify account.' My routing number and account number are definitely correct. Please help — I need this updated before my next paycheck.,High,Billing & Payments,22,True,4
TKT-1119,2025-11-29,phone,Transaction I didn't authorize,"There's a $24.99 transaction on my account from December 04, 2025 that I did not authorize. I've never heard of 'Payroll Advance LLC' and I was not in California on that date. I believe this may be fraud. Please investigate and refund the charge. I'd also like to know if my account has been compromised.",High,Refund Request,15,True,3
TKT-1120,2025-12-03,phone,Transaction I didn't authorize,"There's a $12.99 transaction on my account from December 15, 2025 that I did not authorize. I've never heard of 'Payroll Advance LLC' and I was not in Texas on that date. I believe this may be fraud. Please investigate and refund the charge. I'd also like to know if my account has been compromised.",Medium,Refund Request,16,True,5
TKT-1121,2025-11-28,chat,Dashboard showing wrong data,"The analytics dashboard is showing October data when it should be showing current data. It looks like the data is about 3 weeks behind. We rely on this for payroll decisions so accurate, up-to-date data is critical. Please investigate.",High,Technical Issue,22,False,4
TKT-1122,2026-04-14,web,Want to remove my employer from the platform,Our company has decided to discontinue using your earned wage access program. We have 122 employees enrolled. Can you tell us the process for offboarding our company from the platform? We want to make sure employees are notified properly.,High,Cancellation Request,16,False,3
TKT-1123,2026-02-22,email,Mobile notification not working,I've stopped receiving push notifications on my phone. I checked my phone settings and notifications are enabled for the app. This is a problem because I rely on notifications for payment confirmations. Please help me re-enable these.,Low,Technical Issue,4,True,5
TKT-1124,2026-03-21,phone,Payment failed — please help,I tried to make a payment of $350.0 today but it failed. The error message said 'Insufficient funds' but my bank account shows plenty of money. I've tried twice and both times it failed. Is there a hold on my account? Please look into this ASAP.,Medium,Billing & Payments,14,False,3
TKT-1125,2026-02-14,email,Need to update my email address,"Hi, I recently changed jobs and need to update the email address on my account from sarah.johnson93@icloud.com to emily.miller30@outlook.com. I still have access to the old email so I can verify through that. Could you walk me through the process or make the change for me?",High,Account Access,29,True,4
TKT-1126,2025-12-10,phone,Two-factor authentication not working,I enabled two-factor authentication last week and now I can't get in. I'm not receiving the SMS codes to my phone number ending in 7132. I've waited several minutes and tried multiple times. Is there an alternative way to verify my identity so I can get back in?,Medium,Account Access,15,True,5
TKT-1127,2025-12-04,chat,Payment failed — please help,I tried to make a payment of $79.99 today but it failed. The error message said 'Insufficient funds' but my bank account shows plenty of money. I've tried twice and both times it failed. Is there a hold on my account? Please look into this ASAP.,Low,Billing & Payments,8,False,4
TKT-1128,2025-11-14,web,Two-factor authentication not working,I enabled two-factor authentication last week and now I can't get in. I'm not receiving the SMS codes to my phone number ending in 7929. I've waited several minutes and tried multiple times. Is there an alternative way to verify my identity so I can get back in?,Medium,Account Access,17,True,5
TKT-1129,2026-03-04,email,Is there a fee to use the service?,I was referred by a coworker but I want to make sure I understand the costs before I sign up. Is there a monthly fee? What does it cost to access my pay early? Are there any other hidden charges I should know about?,Low,Product Question,4,True,4
TKT-1130,2026-01-09,phone,Forgot username / can't find my login,I think I signed up with either emily.miller99@icloud.com or john.jones24@gmail.com but neither is working. I do have an account because I've used the service before — I can see charges on my bank statement. Can you look up what email is on file for me? I can verify with my last 4 of SSN or bank account.,High,Account Access,24,False,3
TKT-1131,2026-04-12,web,Question about the $9.99 fee on my statement,I see a $1.99 fee on my recent statement and I'm not sure what it's for. I don't recall seeing this fee before. Is this a new charge? Can you explain what this covers and whether I can avoid it? I've been a customer for 6 months.,High,Billing & Payments,17,False,4
TKT-1132,2026-02-03,email,Account locked — need help getting back in,"My account appears to be locked. I got a message saying it was locked due to too many failed login attempts, but I wasn't the one trying to log in. This might be a security issue — someone may be trying to access my account. Please unlock my account and let me know if there was suspicious activity.",High,Account Access,25,False,2
TKT-1133,2025-11-13,phone,What's the maximum I can advance?,"I wanted to know what the maximum amount I can advance is. I currently have a paycheck coming for around $24.99 and I need about $300 now. Is there a limit on what percentage of my paycheck I can access early? Also, what's the fee for doing this?",Medium,Product Question,12,True,4
TKT-1134,2026-03-12,email,Payroll integration stopped syncing,Our payroll integration with Gusto stopped syncing employee data yesterday. We process payroll on Thursdays and none of our employees are showing updated hours. I checked the integration settings and everything looks correct on our end. This is urgent — payroll runs in 2 days.,Medium,Technical Issue,14,True,3
TKT-1135,2026-04-03,email,App keeps crashing when I open it,The mobile app crashes every time I try to open it. This started after the update that pushed yesterday. I'm on iPhone 14 running iOS 17.4. I've already tried uninstalling and reinstalling but same issue. Is there a known issue with this version?,High,Technical Issue,21,True,4
TKT-1136,2025-12-01,email,Want to remove my employer from the platform,Our company has decided to discontinue using your earned wage access program. We have 88 employees enrolled. Can you tell us the process for offboarding our company from the platform? We want to make sure employees are notified properly.,High,Cancellation Request,28,True,3
TKT-1137,2026-01-30,email,Dashboard showing wrong data,"The analytics dashboard is showing November data when it should be showing current data. It looks like the data is about 3 weeks behind. We rely on this for payroll decisions so accurate, up-to-date data is critical. Please investigate.",Medium,Technical Issue,19,True,5
TKT-1138,2026-02-18,chat,Payroll integration stopped syncing,Our payroll integration with Paycom stopped syncing employee data yesterday. We process payroll on Thursdays and none of our employees are showing updated hours. I checked the integration settings and everything looks correct on our end. This is urgent — payroll runs in 2 days.,Low,Technical Issue,9,True,5
TKT-1139,2026-02-11,chat,Need an invoice for last month,"Hello, could you please send me an invoice for February? Our accounting team needs it for expense reconciliation. Account email is ashley.garcia56@gmail.com. Please send to sarah.brown76@outlook.com as well. We need it in PDF format if possible. Thank you.",Low,Billing & Payments,7,False,5
TKT-1140,2026-04-15,phone,Can't log in to my account,I'm having trouble logging into my account. I've tried my usual password but it keeps saying 'Invalid credentials.' I haven't changed my password recently. I tried the 'Forgot password' link but I'm not getting the reset email. My account email is sarah.brown45@hotmail.com. Please help.,High,Account Access,22,True,3
TKT-1141,2026-04-10,chat,My balance looks wrong,"Something seems off with my account balance. It's showing $1530.35 but based on my transactions I should have more than that. The last transaction I see is from November 20, 2025 but I know I had a deposit processed on December 12, 2025. Can you audit my account?",Medium,Billing & Payments,20,True,3
TKT-1142,2026-04-12,web,Dashboard showing wrong data,"The analytics dashboard is showing November data when it should be showing current data. It looks like the data is about 3 weeks behind. We rely on this for payroll decisions so accurate, up-to-date data is critical. Please investigate.",Critical,Technical Issue,45,False,3
TKT-1143,2026-01-10,chat,Direct deposit didn't arrive,"My direct deposit was supposed to hit today (April 11, 2026) but it's not showing in my bank account. My employer processed payroll on January 13, 2026 so it should have cleared by now. This is urgent as I have bills due today. Can you look into what happened?",Low,Billing & Payments,6,True,5
TKT-1144,2025-11-20,chat,Payroll integration stopped syncing,Our payroll integration with Paychex stopped syncing employee data yesterday. We process payroll on Thursdays and none of our employees are showing updated hours. I checked the integration settings and everything looks correct on our end. This is urgent — payroll runs in 2 days.,Low,Technical Issue,10,True,4
TKT-1145,2025-11-11,chat,Dashboard showing wrong data,"The analytics dashboard is showing November data when it should be showing current data. It looks like the data is about 3 weeks behind. We rely on this for payroll decisions so accurate, up-to-date data is critical. Please investigate.",Medium,Technical Issue,20,True,4
TKT-1146,2025-11-16,chat,Account locked — need help getting back in,"My account appears to be locked. I got a message saying it was locked due to too many failed login attempts, but I wasn't the one trying to log in. This might be a security issue — someone may be trying to access my account. Please unlock my account and let me know if there was suspicious activity.",High,Account Access,25,False,4
TKT-1147,2026-02-21,web,Transaction history not loading,"When I tap on 'Transaction History' in the app, it just shows a spinning loader and never loads. I've waited up to 5 minutes. This has been happening for 2 days. Everything else in the app works fine. I'm on Android 14.",Low,Technical Issue,8,True,5
TKT-1148,2026-03-23,phone,Need to update my email address,"Hi, I recently changed jobs and need to update the email address on my account from chris.garcia7@icloud.com to jessica.johnson13@hotmail.com. I still have access to the old email so I can verify through that. Could you walk me through the process or make the change for me?",Critical,Account Access,43,True,1
TKT-1149,2026-01-29,email,Wrong amount deducted from my paycheck,My advance deduction was for $500.0 but I only took an advance of $24.99. The math doesn't add up — it seems like I was charged a fee I wasn't told about. Can you provide a breakdown of the deduction and refund the difference?,Medium,Refund Request,18,True,4
TKT-1150,2026-04-15,phone,Unexpected charge on my account,"Hi, I just noticed a charge of $49.99 on my account that I don't recognize. The transaction shows up as 'FastPay Inc' but I don't remember authorizing this. Can you help me figure out what this is? My account is under jessica.williams12@icloud.com. Thanks.",High,Billing & Payments,31,True,3
TKT-1151,2025-12-20,email,Two-factor authentication not working,I enabled two-factor authentication last week and now I can't get in. I'm not receiving the SMS codes to my phone number ending in 8967. I've waited several minutes and tried multiple times. Is there an alternative way to verify my identity so I can get back in?,Critical,Account Access,33,True,3
TKT-1152,2026-04-19,email,Wrong amount deducted from my paycheck,My advance deduction was for $200.0 but I only took an advance of $12.99. The math doesn't add up — it seems like I was charged a fee I wasn't told about. Can you provide a breakdown of the deduction and refund the difference?,Medium,Refund Request,20,True,3
TKT-1153,2025-12-13,phone,Suspicious login attempt on my account,I received an email saying there was a login attempt from an unrecognized device in Miami. I did not attempt to log in at that time. I've already changed my password but I'm concerned my account may be compromised. Can you review recent activity and confirm my account is secure?,Medium,Account Access,8,True,4
TKT-1154,2026-04-23,web,Legal hold / subpoena response needed,"Please be advised that our firm represents TechStaff Inc in a pending legal matter. We have issued a subpoena (attached) for records related to account ACC-79993. Please direct this to your legal department. The response deadline is January 01, 2026. Contact our office at david.davis48@yahoo.com with any questions.",High,Compliance & Legal,29,True,3
TKT-1155,2025-12-12,phone,How do I stop automatic deductions?,"I took an advance last month and it was automatically deducted from my paycheck, which I understood. But now it's happening again this pay period even though I didn't take another advance. I want to stop any automatic deductions and ideally cancel the service. Please help.",Medium,Cancellation Request,20,True,4
TKT-1156,2025-12-08,phone,Need an invoice for last month,"Hello, could you please send me an invoice for October? Our accounting team needs it for expense reconciliation. Account email is sarah.johnson11@hotmail.com. Please send to mike.jones66@outlook.com as well. We need it in PDF format if possible. Thank you.",Medium,Billing & Payments,9,False,4
TKT-1157,2026-02-04,email,Charged twice for the same transaction,"I was charged $99.0 twice on November 14, 2025. I only authorized one payment. My bank statement clearly shows two identical charges. I need one of these refunded immediately. Transaction IDs (if helpful): TXN515712 and TXN626392. Please process the refund ASAP.",High,Refund Request,17,True,4
TKT-1158,2025-12-08,email,SSO login broken since company update,"Since our company updated their SSO provider last week, I can no longer log in through the company portal. It redirects me to a blank screen. My colleagues are having the same issue. Our company admin is RetailCo. Can you check if something on your end needs to be updated?",Low,Account Access,6,False,4
TKT-1159,2026-03-01,chat,Is there a fee to use the service?,I was referred by a coworker but I want to make sure I understand the costs before I sign up. Is there a monthly fee? What does it cost to access my pay early? Are there any other hidden charges I should know about?,Low,Product Question,4,False,5
TKT-1160,2026-02-16,chat,Forgot username / can't find my login,I think I signed up with either chris.johnson31@hotmail.com or david.johnson31@gmail.com but neither is working. I do have an account because I've used the service before — I can see charges on my bank statement. Can you look up what email is on file for me? I can verify with my last 4 of SSN or bank account.,High,Account Access,34,True,4
TKT-1161,2026-03-12,chat,Wrong amount deducted from my paycheck,My advance deduction was for $12.99 but I only took an advance of $500.0. The math doesn't add up — it seems like I was charged a fee I wasn't told about. Can you provide a breakdown of the deduction and refund the difference?,Medium,Refund Request,19,True,4
TKT-1162,2026-04-21,email,Question about the $9.99 fee on my statement,I see a $2.99 fee on my recent statement and I'm not sure what it's for. I don't recall seeing this fee before. Is this a new charge? Can you explain what this covers and whether I can avoid it? I've been a customer for 23 months.,Medium,Billing & Payments,13,True,3
TKT-1163,2025-11-06,chat,Dashboard showing wrong data,"The analytics dashboard is showing October data when it should be showing current data. It looks like the data is about 3 weeks behind. We rely on this for payroll decisions so accurate, up-to-date data is critical. Please investigate.",High,Technical Issue,30,True,3
TKT-1164,2026-04-18,chat,Data privacy request — please delete my data,I am submitting a formal request under the California Consumer Privacy Act (CCPA) to delete all personal data you hold about me. My account email is jessica.johnson31@hotmail.com. Please confirm receipt of this request and provide a timeline for deletion. I expect written confirmation once deletion is complete.,Medium,Compliance & Legal,20,True,4
TKT-1165,2026-02-26,email,Need an invoice for last month,"Hello, could you please send me an invoice for November? Our accounting team needs it for expense reconciliation. Account email is mike.davis81@outlook.com. Please send to mike.williams92@gmail.com as well. We need it in PDF format if possible. Thank you.",Medium,Billing & Payments,11,True,4
TKT-1166,2026-03-12,chat,What are your customer support hours?,I've been trying to reach your phone support but keep getting voicemail. What are your support hours? Is there a live chat option? I have an issue that I'd prefer to resolve over the phone rather than by email.,Low,General Inquiry,10,True,5
TKT-1167,2026-02-21,web,Need an invoice for last month,"Hello, could you please send me an invoice for March? Our accounting team needs it for expense reconciliation. Account email is john.garcia16@hotmail.com. Please send to jessica.miller96@outlook.com as well. We need it in PDF format if possible. Thank you.",Medium,Billing & Payments,14,True,4
TKT-1168,2025-11-22,phone,Dashboard showing wrong data,"The analytics dashboard is showing March data when it should be showing current data. It looks like the data is about 3 weeks behind. We rely on this for payroll decisions so accurate, up-to-date data is critical. Please investigate.",Medium,Technical Issue,9,True,4
TKT-1169,2026-01-18,chat,App keeps crashing when I open it,The mobile app crashes every time I try to open it. This started after the update that pushed yesterday. I'm on iPhone 15 running iOS 17.2. I've already tried uninstalling and reinstalling but same issue. Is there a known issue with this version?,Medium,Technical Issue,19,True,4
TKT-1170,2026-04-07,web,Suspicious login attempt on my account,I received an email saying there was a login attempt from an unrecognized device in New York. I did not attempt to log in at that time. I've already changed my password but I'm concerned my account may be compromised. Can you review recent activity and confirm my account is secure?,Low,Account Access,6,True,5
TKT-1171,2025-12-31,phone,Need an invoice for last month,"Hello, could you please send me an invoice for October? Our accounting team needs it for expense reconciliation. Account email is mike.smith78@yahoo.com. Please send to ashley.smith9@yahoo.com as well. We need it in PDF format if possible. Thank you.",Medium,Billing & Payments,13,True,3
TKT-1172,2026-02-22,phone,Direct deposit didn't arrive,"My direct deposit was supposed to hit today (February 03, 2026) but it's not showing in my bank account. My employer processed payroll on January 31, 2026 so it should have cleared by now. This is urgent as I have bills due today. Can you look into what happened?",Medium,Billing & Payments,17,True,4
TKT-1173,2025-11-30,email,Account locked — need help getting back in,"My account appears to be locked. I got a message saying it was locked due to too many failed login attempts, but I wasn't the one trying to log in. This might be a security issue — someone may be trying to access my account. Please unlock my account and let me know if there was suspicious activity.",High,Account Access,20,True,3
TKT-1174,2026-04-30,chat,What are your customer support hours?,I've been trying to reach your phone support but keep getting voicemail. What are your support hours? Is there a live chat option? I have an issue that I'd prefer to resolve over the phone rather than by email.,Low,General Inquiry,8,True,4
TKT-1175,2026-01-28,phone,Unexpected charge on my account,"Hi, I just noticed a charge of $125.0 on my account that I don't recognize. The transaction shows up as 'TP Auto Deduct' but I don't remember authorizing this. Can you help me figure out what this is? My account is under ashley.johnson86@hotmail.com. Thanks.",Low,Billing & Payments,8,True,5
TKT-1176,2025-12-02,web,Incorrect fee charged — requesting refund,"I was charged a $4.99 fee that I don't believe I should have been charged. When I signed up, I was told the first 18 months were fee-free. I'm only on month 1. Can you review and refund this fee?",High,Refund Request,19,True,3
TKT-1177,2026-02-13,phone,Need an invoice for last month,"Hello, could you please send me an invoice for April? Our accounting team needs it for expense reconciliation. Account email is mike.johnson40@gmail.com. Please send to chris.davis53@icloud.com as well. We need it in PDF format if possible. Thank you.",Medium,Billing & Payments,9,True,4
TKT-1178,2026-03-13,email,Is there a fee to use the service?,I was referred by a coworker but I want to make sure I understand the costs before I sign up. Is there a monthly fee? What does it cost to access my pay early? Are there any other hidden charges I should know about?,Low,Product Question,10,True,4
TKT-1179,2025-12-02,chat,Direct deposit didn't arrive,"My direct deposit was supposed to hit today (March 09, 2026) but it's not showing in my bank account. My employer processed payroll on November 11, 2025 so it should have cleared by now. This is urgent as I have bills due today. Can you look into what happened?",Critical,Billing & Payments,44,True,3
TKT-1180,2026-01-12,phone,Is your service available in all states?,"I'm considering recommending your service to my employer. We have employees in California, Texas, and New York. Is your earned wage access product available in all three states? Are there any state-specific restrictions I should know about?",Low,General Inquiry,6,True,4
TKT-1181,2026-04-04,email,Forgot username / can't find my login,I think I signed up with either sarah.williams75@icloud.com or mike.williams93@icloud.com but neither is working. I do have an account because I've used the service before — I can see charges on my bank statement. Can you look up what email is on file for me? I can verify with my last 4 of SSN or bank account.,High,Account Access,33,True,4
TKT-1182,2026-03-27,chat,My balance looks wrong,"Something seems off with my account balance. It's showing $1174.7 but based on my transactions I should have more than that. The last transaction I see is from April 16, 2026 but I know I had a deposit processed on December 20, 2025. Can you audit my account?",High,Billing & Payments,35,True,2
TKT-1183,2026-02-15,chat,Need to update my email address,"Hi, I recently changed jobs and need to update the email address on my account from emily.miller59@hotmail.com to sarah.smith57@yahoo.com. I still have access to the old email so I can verify through that. Could you walk me through the process or make the change for me?",Critical,Account Access,38,True,3
TKT-1184,2026-02-11,email,SSO login broken since company update,"Since our company updated their SSO provider last week, I can no longer log in through the company portal. It redirects me to a blank screen. My colleagues are having the same issue. Our company admin is RetailCo. Can you check if something on your end needs to be updated?",High,Account Access,26,True,4
TKT-1185,2026-01-03,email,Two-factor authentication not working,I enabled two-factor authentication last week and now I can't get in. I'm not receiving the SMS codes to my phone number ending in 8366. I've waited several minutes and tried multiple times. Is there an alternative way to verify my identity so I can get back in?,High,Account Access,16,True,3
TKT-1186,2026-01-20,email,Incorrect fee charged — requesting refund,"I was charged a $4.99 fee that I don't believe I should have been charged. When I signed up, I was told the first 20 months were fee-free. I'm only on month 3. Can you review and refund this fee?",Medium,Refund Request,10,True,3
TKT-1187,2026-02-09,chat,Getting an error code when trying to transfer funds,"Every time I try to transfer money I get error code ERR-1379. This started happening about 1 days ago. I need to move funds for an urgent payment. I've tried different amounts ($50, $100, $500) and get the same error. My bank account is verified and in good standing.",High,Technical Issue,22,True,3
TKT-1188,2025-11-03,phone,Question about the $9.99 fee on my statement,I see a $4.99 fee on my recent statement and I'm not sure what it's for. I don't recall seeing this fee before. Is this a new charge? Can you explain what this covers and whether I can avoid it? I've been a customer for 19 months.,Medium,Billing & Payments,14,True,4
TKT-1189,2026-02-11,email,Want to remove my employer from the platform,Our company has decided to discontinue using your earned wage access program. We have 16 employees enrolled. Can you tell us the process for offboarding our company from the platform? We want to make sure employees are notified properly.,High,Cancellation Request,32,True,2
TKT-1190,2026-02-02,phone,Need to update my email address,"Hi, I recently changed jobs and need to update the email address on my account from david.johnson13@yahoo.com to chris.garcia72@hotmail.com. I still have access to the old email so I can verify through that. Could you walk me through the process or make the change for me?",Medium,Account Access,11,True,4
TKT-1191,2026-01-25,phone,Transaction history not loading,"When I tap on 'Transaction History' in the app, it just shows a spinning loader and never loads. I've waited up to 5 minutes. This has been happening for 2 days. Everything else in the app works fine. I'm on Android 14.",Low,Technical Issue,8,True,4
TKT-1192,2026-01-21,email,Is your service available in all states?,"I'm considering recommending your service to my employer. We have employees in California, Texas, and New York. Is your earned wage access product available in all three states? Are there any state-specific restrictions I should know about?",Low,General Inquiry,8,True,5
TKT-1193,2026-03-17,chat,Can I use this if I'm paid biweekly?,My employer pays me every two weeks. Can I still use the early access feature between pay periods? Does the amount I can advance reset after each paycheck? I'm trying to understand how it works with a biweekly pay schedule.,Medium,Product Question,17,True,5
TKT-1194,2026-03-03,email,Need to update my email address,"Hi, I recently changed jobs and need to update the email address on my account from david.smith61@icloud.com to david.brown75@gmail.com. I still have access to the old email so I can verify through that. Could you walk me through the process or make the change for me?",High,Account Access,35,False,3
TKT-1195,2026-02-16,email,Unexpected charge on my account,"Hi, I just noticed a charge of $350.0 on my account that I don't recognize. The transaction shows up as 'EarnPay Services' but I don't remember authorizing this. Can you help me figure out what this is? My account is under emily.smith41@outlook.com. Thanks.",High,Billing & Payments,21,True,2
TKT-1196,2025-11-16,phone,What documents do I need for onboarding?,"I'm in the process of setting up my account and it's asking me to verify my identity. What documents do you accept? Do I need a government-issued ID? Can I use a passport or does it need to be a driver's license? Also, is my information secure when I upload documents?",Medium,General Inquiry,16,True,4
TKT-1197,2026-03-04,email,Legal hold / subpoena response needed,"Please be advised that our firm represents RetailCo in a pending legal matter. We have issued a subpoena (attached) for records related to account ACC-32699. Please direct this to your legal department. The response deadline is February 26, 2026. Contact our office at jessica.garcia79@hotmail.com with any questions.",High,Compliance & Legal,22,True,3
TKT-1198,2026-04-30,email,Two-factor authentication not working,I enabled two-factor authentication last week and now I can't get in. I'm not receiving the SMS codes to my phone number ending in 5735. I've waited several minutes and tried multiple times. Is there an alternative way to verify my identity so I can get back in?,Critical,Account Access,56,True,3
TKT-1199,2026-01-10,email,Is there a fee to use the service?,I was referred by a coworker but I want to make sure I understand the costs before I sign up. Is there a monthly fee? What does it cost to access my pay early? Are there any other hidden charges I should know about?,High,Product Question,33,False,3
TKT-1200,2025-12-08,email,What are your customer support hours?,I've been trying to reach your phone support but keep getting voicemail. What are your support hours? Is there a live chat option? I have an issue that I'd prefer to resolve over the phone rather than by email.,Low,General Inquiry,6,False,5
TKT-1201,2025-12-25,email,Two-factor authentication not working,I enabled two-factor authentication last week and now I can't get in. I'm not receiving the SMS codes to my phone number ending in 8849. I've waited several minutes and tried multiple times. Is there an alternative way to verify my identity so I can get back in?,Medium,Account Access,16,True,3
TKT-1202,2026-03-31,email,Can I use this if I'm paid biweekly?,My employer pays me every two weeks. Can I still use the early access feature between pay periods? Does the amount I can advance reset after each paycheck? I'm trying to understand how it works with a biweekly pay schedule.,Low,Product Question,4,True,4
TKT-1203,2026-04-24,phone,Can't log in to my account,I'm having trouble logging into my account. I've tried my usual password but it keeps saying 'Invalid credentials.' I haven't changed my password recently. I tried the 'Forgot password' link but I'm not getting the reset email. My account email is chris.garcia13@outlook.com. Please help.,Medium,Account Access,8,False,4
TKT-1204,2025-12-22,phone,Getting an error code when trying to transfer funds,"Every time I try to transfer money I get error code ERR-8822. This started happening about 6 days ago. I need to move funds for an urgent payment. I've tried different amounts ($50, $100, $500) and get the same error. My bank account is verified and in good standing.",Critical,Technical Issue,43,True,4
TKT-1205,2025-12-30,chat,Is your service available in all states?,"I'm considering recommending your service to my employer. We have employees in California, Texas, and New York. Is your earned wage access product available in all three states? Are there any state-specific restrictions I should know about?",Low,General Inquiry,9,False,5
TKT-1206,2025-11-10,web,Do you have a referral program?,A friend told me I can earn rewards for referring new users. How does the referral program work? Is there a limit to how many people I can refer? When do I receive my reward — right when they sign up or after they use the service?,Low,General Inquiry,7,True,5
TKT-1207,2025-11-10,email,What are your customer support hours?,I've been trying to reach your phone support but keep getting voicemail. What are your support hours? Is there a live chat option? I have an issue that I'd prefer to resolve over the phone rather than by email.,High,General Inquiry,33,False,3
TKT-1208,2025-12-12,phone,Forgot username / can't find my login,I think I signed up with either ashley.williams60@icloud.com or david.brown43@gmail.com but neither is working. I do have an account because I've used the service before — I can see charges on my bank statement. Can you look up what email is on file for me? I can verify with my last 4 of SSN or bank account.,Critical,Account Access,41,False,4
TKT-1209,2026-01-23,email,Please close my account,I would like to permanently close my account and have all my personal data deleted. I no longer need this service. My account email is mike.miller66@outlook.com. Please confirm once the account is closed and my data has been removed.,High,Cancellation Request,18,True,4
TKT-1210,2025-12-31,chat,App keeps crashing when I open it,The mobile app crashes every time I try to open it. This started after the update that pushed yesterday. I'm on iPhone 15 running iOS 17.4. I've already tried uninstalling and reinstalling but same issue. Is there a known issue with this version?,Critical,Technical Issue,42,False,3
TKT-1211,2026-04-17,chat,How long does a transfer take?,"If I request a transfer today, when will the money actually show up in my bank account? I've seen different timelines mentioned — 1 business day vs instant. Is there an option for instant transfer? Is there a fee for faster delivery?",Medium,Product Question,11,True,5
TKT-1212,2026-03-09,web,Mobile notification not working,I've stopped receiving push notifications on my phone. I checked my phone settings and notifications are enabled for the app. This is a problem because I rely on notifications for payment confirmations. Please help me re-enable these.,Low,Technical Issue,9,True,5
TKT-1213,2026-04-07,email,How long does a transfer take?,"If I request a transfer today, when will the money actually show up in my bank account? I've seen different timelines mentioned — 1 business day vs instant. Is there an option for instant transfer? Is there a fee for faster delivery?",High,Product Question,19,True,3
TKT-1214,2026-04-29,chat,How do I stop automatic deductions?,"I took an advance last month and it was automatically deducted from my paycheck, which I understood. But now it's happening again this pay period even though I didn't take another advance. I want to stop any automatic deductions and ideally cancel the service. Please help.",Medium,Cancellation Request,15,False,4
TKT-1215,2026-02-23,chat,I want to cancel my subscription,"Hi, I'd like to cancel my subscription. I'm switching employers and my new company doesn't use your service. My last day at my current job is March 15, 2026. Can you walk me through the cancellation process? Also, will I be charged anything for canceling mid-cycle?",High,Cancellation Request,26,True,2
TKT-1216,2025-12-09,email,Question about the $2.99 fee on my statement,I see a $14.99 fee on my recent statement and I'm not sure what it's for. I don't recall seeing this fee before. Is this a new charge? Can you explain what this covers and whether I can avoid it? I've been a customer for 19 months.,High,Billing & Payments,31,True,4
TKT-1217,2025-11-15,chat,How do I stop automatic deductions?,"I took an advance last month and it was automatically deducted from my paycheck, which I understood. But now it's happening again this pay period even though I didn't take another advance. I want to stop any automatic deductions and ideally cancel the service. Please help.",Medium,Cancellation Request,16,True,3
TKT-1218,2026-01-05,phone,My balance looks wrong,"Something seems off with my account balance. It's showing $650.93 but based on my transactions I should have more than that. The last transaction I see is from November 06, 2025 but I know I had a deposit processed on February 06, 2026. Can you audit my account?",Medium,Billing & Payments,19,True,5
TKT-1219,2026-02-13,email,Unexpected charge on my account,"Hi, I just noticed a charge of $200.0 on my account that I don't recognize. The transaction shows up as 'EarnPay Services' but I don't remember authorizing this. Can you help me figure out what this is? My account is under sarah.davis37@gmail.com. Thanks.",Medium,Billing & Payments,10,False,4
TKT-1220,2026-03-18,chat,Need to update my email address,"Hi, I recently changed jobs and need to update the email address on my account from chris.miller88@gmail.com to mike.garcia23@gmail.com. I still have access to the old email so I can verify through that. Could you walk me through the process or make the change for me?",Critical,Account Access,33,False,3
TKT-1221,2026-02-06,phone,Transaction I didn't authorize,"There's a $125.0 transaction on my account from April 22, 2026 that I did not authorize. I've never heard of 'FastPay Inc' and I was not in Miami on that date. I believe this may be fraud. Please investigate and refund the charge. I'd also like to know if my account has been compromised.",High,Refund Request,22,True,4
